 drug_name,age_group,warning,severity,alternative,note
Aspirin Variant99,<2 years,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant0,All,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant1,<2 years,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant2,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant3,Adult,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant4,Neonates,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Prednisone Variant5,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant6,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Metoclopramide Variant7,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Ciprofloxacin Variant8,<18,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant9,Neonates,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant10,Pediatric,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant11,Pediatric,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Codeine Variant12,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant13,Adult,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant14,Elderly,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant15,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Codeine Variant16,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant17,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant18,Elderly,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Aspirin Variant19,Adult,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant20,<2 years,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant21,Pediatric,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant22,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant23,<18,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Dexamethasone Variant24,<2 years,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant25,<2 years,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Prednisone Variant26,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant27,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant28,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant29,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant30,Pediatric,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant31,Elderly,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant32,All,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant33,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant34,<2 years,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant35,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant36,Neonates,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Codeine Variant37,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Metoclopramide Variant38,<2 years,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Dexamethasone Variant39,Adult,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant40,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant41,Adult,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Aspirin Variant42,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant43,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant44,<2 years,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant45,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Aspirin Variant46,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant47,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant48,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Metoclopramide Variant49,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Dexamethasone Variant50,<18,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant51,Adult,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant52,Neonates,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Aspirin Variant53,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant54,Neonates,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant55,<2 years,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Codeine Variant56,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Dexamethasone Variant57,<18,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Codeine Variant58,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant59,Elderly,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant60,<2 years,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant61,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Metoclopramide Variant62,Neonates,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Codeine Variant63,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant64,<2 years,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant65,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant66,Neonates,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant67,Pediatric,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Promethazine Variant68,Pediatric,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Codeine Variant69,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Prednisone Variant70,Adult,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant71,All,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Codeine Variant72,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant73,Pediatric,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant74,Adult,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant75,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant76,<2 years,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Prednisone Variant77,All,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant78,All,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant79,Neonates,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant80,Pediatric,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant81,All,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant82,<18,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant83,<18,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant84,<18,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Dexamethasone Variant85,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant86,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant87,Pediatric,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Promethazine Variant88,Neonates,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Aspirin Variant89,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant90,Neonates,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant91,Adult,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Lorazepam Variant92,All,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant93,Neonates,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant94,<2 years,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Metoclopramide Variant95,All,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Prednisone Variant96,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant97,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant98,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant99,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant0,<2 years,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant1,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant2,Pediatric,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant3,Adult,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant4,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant5,Pediatric,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant6,Elderly,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant7,Neonates,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Lorazepam Variant8,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
